Movie ID,Title,Release Date,Genre,Vote Average,Vote Count,Overview,Language,Budget,Revenue,Poster Path,Popularity,Adult,Production Companies
1147400,"Miraculous World: Paris, Tales of Shadybug and Claw Noir",2023-10-21,Family,7.236,546,"Miraculous holders from another world appear in Paris. They come from a parallel universe where everything is reversed: the holders of Ladybug and Black Cat Miraculouses, Shadybug and Claw Noir, are the bad guys, and the holder of the Butterfly Miraculous, Hesperia, is a superhero. Ladybug and Cat Noir will have to help Hesperia counter the attacks of their evil doubles and prevent them from seizing the Butterfly's Miraculous. Can our heroes also help Hesperia make Shadybug and Claw Noir better people?",fr,0,0,https://image.tmdb.org/t/p/w500/nydROKumZe9oFZNiSn792MDDA1v.jpg,131.501,False,"Zagtoon, SAMG Animation, Method Animation, The Walt Disney Company EMEA, Télé-Québec, TF1, Gloob, Norman Studio"
753342,Napoleon,2023-11-22,History,6.4,2578,"An epic that details the checkered rise and fall of French Emperor Napoleon Bonaparte and his relentless journey to power through the prism of his addictive, volatile relationship with his wife, Josephine.",en,165000000,220597098,https://image.tmdb.org/t/p/w500/vcZWJGvB5xydWuUO1vaTLI82tGi.jpg,128.763,False,"Apple Studios, Scott Free Productions"
753342,Napoleon,2023-11-22,War,6.4,2578,"An epic that details the checkered rise and fall of French Emperor Napoleon Bonaparte and his relentless journey to power through the prism of his addictive, volatile relationship with his wife, Josephine.",en,165000000,220597098,https://image.tmdb.org/t/p/w500/vcZWJGvB5xydWuUO1vaTLI82tGi.jpg,128.763,False,"Apple Studios, Scott Free Productions"
753342,Napoleon,2023-11-22,Romance,6.4,2578,"An epic that details the checkered rise and fall of French Emperor Napoleon Bonaparte and his relentless journey to power through the prism of his addictive, volatile relationship with his wife, Josephine.",en,165000000,220597098,https://image.tmdb.org/t/p/w500/vcZWJGvB5xydWuUO1vaTLI82tGi.jpg,128.763,False,"Apple Studios, Scott Free Productions"
1145028,Woman in the Maze,2023-10-06,Horror,4.5,14,"A young woman rents a cursed house, forcing her to solve the mystery to find a way out.",en,0,0,https://image.tmdb.org/t/p/w500/pwTrBeqYyzTdj59fbferFWUIdLx.jpg,127.647,False,
1145028,Woman in the Maze,2023-10-06,Thriller,4.5,14,"A young woman rents a cursed house, forcing her to solve the mystery to find a way out.",en,0,0,https://image.tmdb.org/t/p/w500/pwTrBeqYyzTdj59fbferFWUIdLx.jpg,127.647,False,
615656,Meg 2: The Trench,2023-08-02,Action,6.471,3463,An exploratory dive into the deepest depths of the ocean of a daring research team spirals into chaos when a malevolent mining operation threatens their mission and forces them into a high-stakes battle for survival.,en,129000000,384056482,https://image.tmdb.org/t/p/w500/4m1Au3YkjqsxF8iwQy0fPYSxE0h.jpg,114.564,False,"Apelles Entertainment, Warner Bros. Pictures, di Bonaventura Pictures, CMC Pictures, Onaroll Productions, DF Pictures"
615656,Meg 2: The Trench,2023-08-02,Science Fiction,6.471,3463,An exploratory dive into the deepest depths of the ocean of a daring research team spirals into chaos when a malevolent mining operation threatens their mission and forces them into a high-stakes battle for survival.,en,129000000,384056482,https://image.tmdb.org/t/p/w500/4m1Au3YkjqsxF8iwQy0fPYSxE0h.jpg,114.564,False,"Apelles Entertainment, Warner Bros. Pictures, di Bonaventura Pictures, CMC Pictures, Onaroll Productions, DF Pictures"
615656,Meg 2: The Trench,2023-08-02,Horror,6.471,3463,An exploratory dive into the deepest depths of the ocean of a daring research team spirals into chaos when a malevolent mining operation threatens their mission and forces them into a high-stakes battle for survival.,en,129000000,384056482,https://image.tmdb.org/t/p/w500/4m1Au3YkjqsxF8iwQy0fPYSxE0h.jpg,114.564,False,"Apelles Entertainment, Warner Bros. Pictures, di Bonaventura Pictures, CMC Pictures, Onaroll Productions, DF Pictures"
609681,The Marvels,2023-11-08,Science Fiction,6.043,2769,"Carol Danvers, aka Captain Marvel, has reclaimed her identity from the tyrannical Kree and taken revenge on the Supreme Intelligence. But unintended consequences see Carol shouldering the burden of a destabilized universe. When her duties send her to an anomalous wormhole linked to a Kree revolutionary, her powers become entangled with that of Jersey City super-fan Kamala Khan, aka Ms. Marvel, and Carol’s estranged niece, now S.A.B.E.R. astronaut Captain Monica Rambeau. Together, this unlikely trio must team up and learn to work in concert to save the universe.",en,274800000,207089999,https://image.tmdb.org/t/p/w500/9GBhzXMFjgcZ3FdR9w3bUMMTps5.jpg,112.963,False,"Marvel Studios, Kevin Feige Productions"
609681,The Marvels,2023-11-08,Adventure,6.043,2769,"Carol Danvers, aka Captain Marvel, has reclaimed her identity from the tyrannical Kree and taken revenge on the Supreme Intelligence. But unintended consequences see Carol shouldering the burden of a destabilized universe. When her duties send her to an anomalous wormhole linked to a Kree revolutionary, her powers become entangled with that of Jersey City super-fan Kamala Khan, aka Ms. Marvel, and Carol’s estranged niece, now S.A.B.E.R. astronaut Captain Monica Rambeau. Together, this unlikely trio must team up and learn to work in concert to save the universe.",en,274800000,207089999,https://image.tmdb.org/t/p/w500/9GBhzXMFjgcZ3FdR9w3bUMMTps5.jpg,112.963,False,"Marvel Studios, Kevin Feige Productions"
609681,The Marvels,2023-11-08,Action,6.043,2769,"Carol Danvers, aka Captain Marvel, has reclaimed her identity from the tyrannical Kree and taken revenge on the Supreme Intelligence. But unintended consequences see Carol shouldering the burden of a destabilized universe. When her duties send her to an anomalous wormhole linked to a Kree revolutionary, her powers become entangled with that of Jersey City super-fan Kamala Khan, aka Ms. Marvel, and Carol’s estranged niece, now S.A.B.E.R. astronaut Captain Monica Rambeau. Together, this unlikely trio must team up and learn to work in concert to save the universe.",en,274800000,207089999,https://image.tmdb.org/t/p/w500/9GBhzXMFjgcZ3FdR9w3bUMMTps5.jpg,112.963,False,"Marvel Studios, Kevin Feige Productions"
575264,Mission: Impossible - Dead Reckoning Part One,2023-07-08,Action,7.541,3923,"Ethan Hunt and his IMF team embark on their most dangerous mission yet: To track down a terrifying new weapon that threatens all of humanity before it falls into the wrong hands. With control of the future and the world's fate at stake and dark forces from Ethan's past closing in, a deadly race around the globe begins. Confronted by a mysterious, all-powerful enemy, Ethan must consider that nothing can matter more than his mission—not even the lives of those he cares about most.",en,291000000,567535383,https://image.tmdb.org/t/p/w500/NNxYkU70HPurnNCSiCjYAmacwm.jpg,115.532,False,"Paramount Pictures, Skydance Media, TC Productions"
575264,Mission: Impossible - Dead Reckoning Part One,2023-07-08,Adventure,7.541,3923,"Ethan Hunt and his IMF team embark on their most dangerous mission yet: To track down a terrifying new weapon that threatens all of humanity before it falls into the wrong hands. With control of the future and the world's fate at stake and dark forces from Ethan's past closing in, a deadly race around the globe begins. Confronted by a mysterious, all-powerful enemy, Ethan must consider that nothing can matter more than his mission—not even the lives of those he cares about most.",en,291000000,567535383,https://image.tmdb.org/t/p/w500/NNxYkU70HPurnNCSiCjYAmacwm.jpg,115.532,False,"Paramount Pictures, Skydance Media, TC Productions"
